pantone_name,fixed_id,corel_palette_version,process,cmyk_c_percent,cmyk_m_percent,cmyk_y_percent,cmyk_k_percent,cmyk_corel_raw,lab_corel_raw,srgb_r_0_255,srgb_g_0_255,srgb_b_0_255,hex_from_corel_srgb,srgb_corel_raw,adobe_rgb_corel_raw,source_xml,source_file_timestamp
PANTONE 531 CP,509,1700,true,8.0,20.0,0.0,0.0,"0.08,0.2,0.0,0.0","0.8285,0.548588235294118,0.474117647058824",222,199,220,#DEC7DC,"0.870588235294118,0.780392156862745,0.862745098039216","0.843137254901961,0.776470588235294,0.854901960784314",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 530 CP,510,1700,true,12.0,27.0,0.0,0.0,"0.12,0.27,0.0,0.0","0.7712,0.565098039215686,0.462745098039216",211,181,209,#D3B5D1,"0.827450980392157,0.709803921568627,0.819607843137255","0.792156862745098,0.701960784313725,0.811764705882353",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 529 CP,511,1700,true,19.0,38.0,0.0,0.0,"0.19,0.38,0.0,0.0","0.7136,0.575607843137255,0.448",197,163,200,#C5A3C8,"0.772549019607843,0.63921568627451,0.784313725490196","0.733333333333333,0.635294117647059,0.776470588235294",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 528 CP,512,1700,true,31.0,54.0,0.0,0.0,"0.31,0.54,0.0,0.0","0.6128,0.597921568627451,0.42443137254902",175,133,183,#AF85B7,"0.686274509803922,0.52156862745098,0.717647058823529","0.63921568627451,0.517647058823529,0.705882352941177",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 527 CP,513,1700,true,62.0,93.0,0.0,0.0,"0.62,0.93,0.0,0.0","0.3761,0.646,0.370745098039216",122,64,144,#7A4090,"0.47843137254902,0.250980392156863,0.564705882352941","0.427450980392157,0.258823529411765,0.549019607843137",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 526 CP,514,1700,true,66.0,100.0,0.0,0.0,"0.66,1.0,0.0,0.0","0.3496,0.649607843137255,0.363607843137255",115,56,140,#73388C,"0.450980392156863,0.219607843137255,0.549019607843137","0.4,0.231372549019608,0.533333333333333",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 525 CP,515,1700,true,64.0,98.0,1.0,33.0,"0.64,0.98,0.01,0.33","0.2902,0.600392156862745,0.419607843137255",92,53,102,#5C3566,"0.36078431372549,0.207843137254902,0.4","0.329411764705882,0.219607843137255,0.392156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 256 CP,516,1700,true,11.0,24.0,0.0,0.0,"0.11,0.24,0.0,0.0","0.7962,0.551882352941176,0.464666666666667",213,190,215,#D5BED7,"0.835294117647059,0.745098039215686,0.843137254901961","0.807843137254902,0.737254901960784,0.835294117647059",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 257 CP,517,1700,true,19.0,39.0,0.0,0.0,"0.19,0.39,0.0,0.0","0.7022,0.580352941176471,0.445686274509804",196,160,198,#C4A0C6,"0.768627450980392,0.627450980392157,0.776470588235294","0.725490196078431,0.619607843137255,0.764705882352941",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 258 CP,518,1700,true,51.0,84.0,0.0,0.0,"0.51,0.84,0.0,0.0","0.4551,0.630156862745098,0.389960784313725",140,87,156,#8C579C,"0.549019607843137,0.341176470588235,0.611764705882353","0.498039215686275,0.341176470588235,0.6",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
